Date,Open,High,Low,Close,Adj Close,Volume
11-05-2018,1727.099976,1742.5,1721.25,1728.474976,1551.095337,2627876
14-05-2018,1728.5,1735.5,1705.400024,1716.775024,1540.595947,2433894
15-05-2018,1725,1747.900024,1716.849976,1741.199951,1562.514404,1952890
16-05-2018,1739.974976,1754.5,1737.625,1746.949951,1567.674194,1648450
17-05-2018,1756.474976,1766.574951,1738,1745.900024,1566.732178,2968048
18-05-2018,1740.400024,1758.849976,1729,1751.025024,1571.331299,1874996
21-05-2018,1764.349976,1796,1759.025024,1778.375,1595.874756,3446178
22-05-2018,1779,1787.474976,1746.849976,1754.449951,1574.404785,1857416
23-05-2018,1762.5,1772.5,1740.5,1747.550049,1568.212524,1507298
24-05-2018,1755,1807.5,1751.175049,1801.849976,1616.94043,2962316
25-05-2018,1812.5,1837.400024,1786.275024,1792.900024,1608.908936,3769772
28-05-2018,1808.25,1808.25,1743,1751.025024,1571.331299,3716798
29-05-2018,1764.949951,1772,1744,1761.75,1580.955566,3525312
30-05-2018,1754.525024,1766.5,1741.25,1757.050049,1576.738159,3779106
31-05-2018,1734,1759.050049,1726.099976,1741.050049,1575.380615,5049371
01-06-2018,1754,1757.5,1716.300049,1732.449951,1567.598877,1603856
04-06-2018,1745,1749,1712.599976,1744.25,1578.276001,1681483
05-06-2018,1744,1751.900024,1711.150024,1721.599976,1557.781128,2449568
06-06-2018,1723,1734.900024,1715.199951,1725.75,1561.536621,2236512
07-06-2018,1725,1749,1723.800049,1735.550049,1570.404053,2414762
08-06-2018,1735,1757.300049,1735,1747.099976,1580.854858,2582138
11-06-2018,1747.099976,1763,1743,1749.699951,1583.207397,2179378
12-06-2018,1757,1785,1753,1781,1611.529419,4608875
13-06-2018,1816,1831.650024,1798,1824.099976,1650.527954,5370983
14-06-2018,1830,1832.300049,1784,1787.550049,1617.455933,3819998
15-06-2018,1800,1847.099976,1788.599976,1840.050049,1664.960327,9183574
18-06-2018,1867.949951,1867.949951,1822.150024,1829,1654.962158,4674987
19-06-2018,1822.150024,1839,1821,1824.5,1650.890137,3245034
20-06-2018,1832,1836.300049,1818.599976,1822.449951,1649.034912,3107695
21-06-2018,1832,1832,1817.599976,1819.349976,1646.229858,2910659
22-06-2018,1827,1827,1799.550049,1809.800049,1637.588867,2949458
25-06-2018,1811.900024,1822.349976,1806,1819.25,1646.139526,2083217
26-06-2018,1823,1861,1821,1852,1675.773193,4679712
27-06-2018,1860,1885.150024,1851.25,1858,1681.202515,4081208
28-06-2018,1865,1871,1826.300049,1842.699951,1667.358398,4888125
29-06-2018,1844.900024,1867.400024,1842.300049,1847.75,1671.927368,3506276
02-07-2018,1852,1857.800049,1841.099976,1851.349976,1675.185181,2650290
