Date,Predicted Closing Value
23-05-31,3316.0008248495164
23-06-01,3315.8022609680515
23-06-02,3315.6042577679364
23-06-03,3315.406813665985
23-06-04,3315.209927083481
23-06-05,3315.013596446167
23-06-06,3314.81782018423
23-06-07,3314.6225967322907
23-06-08,3314.4279245293883
23-06-09,3314.233802018971
23-06-10,3314.0402276488817
23-06-11,3313.847199871346
23-06-12,3313.6547171429606
23-06-13,3313.4627779246794
23-06-14,3313.2713806818024
23-06-15,3313.0805238839635
23-06-16,3312.8902060051173
23-06-17,3312.7004255235274
23-06-18,3312.511180921755
23-06-19,3312.322470686646
23-06-20,3312.134293309318
23-06-21,3311.9466472851495
23-06-22,3311.759531113769
23-06-23,3311.5729432990393
23-06-24,3311.3868823490498
23-06-25,3311.2013467761017
23-06-26,3311.016335096697
23-06-27,3310.831845831526
23-06-28,3310.647877505458
23-06-29,3310.4644286475254
23-06-30,3310.2814977909156
23-07-01,3310.0990834729573
23-07-02,3309.9171842351093
23-07-03,3309.735798622949
23-07-04,3309.5549251861603
23-07-05,3309.374562478523
23-07-06,3309.1947090578997
23-07-07,3309.015363486226
23-07-08,3308.8365243294975
23-07-09,3308.6581901577592
23-07-10,3308.480359545094
23-07-11,3308.303031069611
23-07-12,3308.126203313434
23-07-13,3307.949874862691
23-07-14,3307.7740443075018
23-07-15,3307.598710241967
23-07-16,3307.4238712641586
23-07-17,3307.2495259761054
23-07-18,3307.075672983784
23-07-19,3306.902310897108
23-07-20,3306.7294383299154
23-07-21,3306.557053899959
23-07-22,3306.385156228894
23-07-23,3306.213743942268
23-07-24,3306.0428156695098
23-07-25,3305.8723700439173
23-07-26,3305.7024057026483
23-07-27,3305.5329212867086
23-07-28,3305.363915440942
23-07-29,3305.195386814018
23-07-30,3305.027334058422
23-07-31,3304.8597558304446
23-08-01,3304.6926507901703
23-08-02,3304.5260176014676
23-08-03,3304.359854931977
23-08-04,3304.1941614531024
23-08-05,3304.0289358399978
23-08-06,3303.864176771559
23-08-07,3303.699882930412
23-08-08,3303.536053002903
23-08-09,3303.3726856790868
23-08-10,3303.2097796527178
23-08-11,3303.0473336212385
23-08-12,3302.885346285769
23-08-13,3302.723816351098
23-08-14,3302.5627425256703
23-08-15,3302.4021235215782
23-08-16,3302.241958054551
23-08-17,3302.082244843944
23-08-18,3301.9229826127284
23-08-19,3301.7641700874824
23-08-20,3301.6058059983784
23-08-21,3301.447889079175
23-08-22,3301.290418067207
23-08-23,3301.133391703374
23-08-24,3300.97680873213
23-08-25,3300.8206679014756
23-08-26,3300.6649679629463
23-08-27,3300.509707671603
23-08-28,3300.354885786021
23-08-29,3300.200501068282
23-08-30,3300.0465522839627
23-08-31,3299.893038202126
23-09-01,3299.7399575953095
23-09-02,3299.5873092395177
23-09-03,3299.435091914211
23-09-04,3299.2833044022964
23-09-05,3299.131945490117
23-09-06,3298.981013967443
23-09-07,3298.830508627462
